dtstart,dtend,uid,description,salle
2023-12-22T09:00:00Z,2023-12-22T12:00:00Z,Cours-5530-26-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 3 URBANISATION\nEnseignant : ROUVIER Mickael\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Amphi Blaise\nType : Evaluation\n",Amphi Blaise
2023-10-16T14:00:00Z,2023-10-16T17:00:00Z,Cours-5635-17-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 4 APPLICATION DE CONCEPTI\nEnseignant : ROUVIER Mickael\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalles : Stat 5 = Info - C 130, Stat 6 = Info - C 129\nType : TP\n","Stat 5 = Info - C 130, Stat 6 = Info - C 129"
2023-11-15T15:00:00Z,2023-11-15T18:00:00Z,Cours-5636-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 4 APPLICATION DE CONCEPTI\nEnseignant : ROUVIER Mickael\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 6 = Info - C 129\nType : TP\n",Stat 6 = Info - C 129
2023-12-18T12:00:00Z,2023-12-18T15:00:00Z,Cours-5642-26-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 4 APPLICATION DE CONCEPTI\nEnseignant : ROUVIER Mickael\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalles : Stat 8 = Info - C 127, Stat9 = Info - C 026\nType : TP\n","Stat 8 = Info - C 127, Stat9 = Info - C 026"
2023-09-22T06:30:00Z,2023-09-22T11:00:00Z,Cours-5683-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 PROJET\nEnseignants : HADDAD Majed, VERNET Mathilde\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla\nSalle : Amphi Ada\nType : TD\nMemo : Presentation des projets de M1 classiques\n",Amphi Ada
2023-11-16T09:00:00Z,2023-11-16T10:30:00Z,Cours-5684-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 PROJET\nEnseignants : HADDAD Majed, VERNET Mathilde\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla\nSalle : S4 = C 034\nType : TD\nMemo : 2eme rencontre intermediaire des projets de M1 classiques\n",S4 = C 034
2023-10-19T08:00:00Z,2023-10-19T11:00:00Z,Cours-5686-17-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 PROJET\nEnseignants : HADDAD Majed, VERNET Mathilde\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla\nSalle : S5 = C 024\nType : TD\nMemo : 1ere rencontre intermediaire des projets de M1 classiques\n",S5 = C 024
2023-11-20T09:00:00Z,2023-11-20T12:00:00Z,Cours-5689-22-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 INSERTION PROFESSIONNEL\nEnseignant : BROCHARD Marc\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : S5 = C 024\nType : TD\nMemo : NE PAS DEPLACER\n",S5 = C 024
2023-11-29T07:30:00Z,2023-11-29T10:30:00Z,Cours-5699-23-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 INSERTION PROFESSIONNEL\nEnseignant : BROCHARD Marc\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : S5 = C 024\nType : TD\nMemo : NE PAS DEPLACER\n",S5 = C 024
2023-11-28T13:30:00Z,2023-11-28T16:30:00Z,Cours-5715-23-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 INSERTION PROFESSIONNEL\nEnseignant : BROCHARD Marc\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : S5 = C 024\nType : TD\nMemo : NE PAS DEPLACER\n",S5 = C 024
2023-12-05T09:00:00Z,2023-12-05T10:30:00Z,Cours-5716-24-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 INSERTION PROFESSIONNEL\nEnseignant : BROCHARD Marc\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : S5 = C 024\nType : TD\nMemo : NE PAS DEPLACER\n",S5 = C 024
2023-10-10T12:30:00Z,2023-10-10T14:00:00Z,Cours-5845-16-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignants : FREDOUILLE Corinne, JABAIAN Bassam\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Stat 5 = Info - C 130\nType : TP\n",Stat 5 = Info - C 130
2023-12-04T07:30:00Z,2023-12-04T09:00:00Z,Cours-5846-24-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Stat 1 = Info - C 137\nType : TP\n",Stat 1 = Info - C 137
2023-11-10T12:00:00Z,2023-11-10T15:00:00Z,Cours-6058-20-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 2 PROGRAMMATION PARALLELE\nEnseignant : PELERIN Aurelien\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat 4 = Info - C 131\nType : TP\n,Stat 4 = Info - C 131
2023-10-19T14:00:00Z,2023-10-19T17:00:00Z,Cours-6059-17-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 DESIGN PATTERN AVANCE\nEnseignant : NABITZ Sophie\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1\nSalle : Amphi Blaise\nType : CM\n",Amphi Blaise
2023-11-07T09:00:00Z,2023-11-07T10:30:00Z,Cours-6073-20-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : JABAIAN Bassam\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Stat 5 = Info - C 130\nType : TP\n",Stat 5 = Info - C 130
