dtstart,dtend,uid,description,salle
2024-03-04T16:30:00Z,2024-03-04T18:00:00Z,Cours-71069-37-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S6 = C 022\nType : CM\n,S6 = C 022
2024-01-29T10:30:00Z,2024-01-29T12:00:00Z,Cours-54105-32-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-02-01T13:30:00Z,2024-02-01T15:00:00Z,Cours-54111-32-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S6 = C 022\nType : CM\n,S6 = C 022
2024-02-12T09:00:00Z,2024-02-12T10:30:00Z,Cours-54113-34-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-03-06T07:30:00Z,2024-03-06T09:00:00Z,Cours-54124-37-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-03-13T07:30:00Z,2024-03-13T09:00:00Z,Cours-54124-38-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-03-14T13:30:00Z,2024-03-14T15:00:00Z,Cours-54135-38-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Amphi Ada\nType : CM\n,Amphi Ada
2024-03-18T07:30:00Z,2024-03-18T09:00:00Z,Cours-54136-39-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-03-20T07:30:00Z,2024-03-20T09:00:00Z,Cours-54142-39-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-05-13T06:30:00Z,2024-05-13T08:00:00Z,Cours-54144-47-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : Evaluation\n,S5 = C 024
2024-04-08T06:30:00Z,2024-04-08T08:00:00Z,Cours-54145-42-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 BIS = C 038\nType : CM\n,S2 BIS = C 038
2024-02-12T12:00:00Z,2024-02-12T15:00:00Z,Cours-54148-34-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Stat 8 = Info - C 127\nType : TP\n,Stat 8 = Info - C 127
2024-04-08T11:00:00Z,2024-04-08T14:00:00Z,Cours-54148-42-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Stat 5 = Info - C 130\nType : TP\n,Stat 5 = Info - C 130
2024-04-15T11:00:00Z,2024-04-15T14:00:00Z,Cours-54148-43-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Stat 5 = Info - C 130\nType : TP\n,Stat 5 = Info - C 130
2024-03-15T07:30:00Z,2024-03-15T10:30:00Z,Cours-54149-38-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Stat 3 = Info - C 135\nType : TP\n,Stat 3 = Info - C 135
2024-03-21T09:00:00Z,2024-03-21T12:00:00Z,Cours-54150-39-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HUET Stephane\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Stat 5 = Info - C 130\nType : TP\n,Stat 5 = Info - C 130
2024-02-01T07:30:00Z,2024-02-01T09:00:00Z,Cours-54156-32-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : CM\n,S5 = C 024
2024-02-07T07:30:00Z,2024-02-07T09:00:00Z,Cours-54158-33-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S6 = C 022\nType : CM\n,S6 = C 022
2024-01-31T09:00:00Z,2024-01-31T10:30:00Z,Cours-54159-32-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S6 = C 022\nType : CM\n,S6 = C 022
2024-02-08T07:30:00Z,2024-02-08T09:00:00Z,Cours-54164-33-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : Amphi Ada\nType : CM\n,Amphi Ada
2024-02-15T10:30:00Z,2024-02-15T12:00:00Z,Cours-54165-34-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : CM\n,S5 = C 024
2024-03-08T07:30:00Z,2024-03-08T09:00:00Z,Cours-54175-37-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : ESTEVE Yannick\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : CM\n,S5 = C 024
2024-03-18T09:00:00Z,2024-03-18T10:30:00Z,Cours-54180-39-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : ESTEVE Yannick\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : CM\n,S5 = C 024
