dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-02-12T07:30:00Z,2024-02-12T10:30:00Z,Cours-53387-34-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp10,ILSEN-ALT
2024-02-08T09:00:00Z,2024-02-08T12:00:00Z,Cours-53388-33-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp7,ILSEN-ALT
2024-02-08T13:30:00Z,2024-02-08T16:30:00Z,Cours-53389-33-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp8,ILSEN-ALT
2024-01-31T16:30:00Z,2024-01-31T18:00:00Z,Cours-53400-32-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-ALT
2024-02-14T07:30:00Z,2024-02-14T09:00:00Z,Cours-53401-34-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 2 MIDDLEWARE,NABITZ Sophie,CM,,ILSEN-ALT
2024-02-15T13:30:00Z,2024-02-15T18:00:00Z,Cours-53417-34-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-ALT
2024-03-07T15:00:00Z,2024-03-07T18:00:00Z,Cours-53419-37-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-ALT
2024-02-13T15:00:00Z,2024-02-13T18:00:00Z,Cours-53489-34-M1-ILSEN-alt-GR1-Index-Education,Stat 5 = Info - C 130,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-08T15:00:00Z,2024-03-08T18:00:00Z,Cours-53490-37-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-14T12:00:00Z,2024-03-14T15:00:00Z,Cours-53491-38-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-ALT
2024-03-07T07:30:00Z,2024-03-07T09:00:00Z,Cours-53493-37-M1-ILSEN-alt-GR1-Index-Education,S5 = C 024,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,CM,,ILSEN-ALT
2024-03-07T12:00:00Z,2024-03-07T15:00:00Z,Cours-53503-37-M1-ILSEN-alt-GR1-Index-Education,S5 = C 024,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,CM,,ILSEN-ALT
2024-03-15T12:00:00Z,2024-03-15T15:00:00Z,Cours-53533-38-M1-ILSEN-alt-GR1-Index-Education,Stat 8 = Info - C 127,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2024-04-15T11:00:00Z,2024-04-15T14:00:00Z,Cours-53534-43-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2024-04-12T11:00:00Z,2024-04-12T14:00:00Z,Cours-53536-42-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2024-02-02T13:30:00Z,2024-02-02T15:00:00Z,Cours-53640-32-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-05T13:30:00Z,2024-02-05T15:00:00Z,Cours-53653-33-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-08T16:30:00Z,2024-02-08T18:00:00Z,Cours-53654-33-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-09T13:30:00Z,2024-02-09T15:00:00Z,Cours-53656-33-M1-ILSEN-alt-GR1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-03-06T09:00:00Z,2024-03-06T10:30:00Z,Cours-53685-37-M1-ILSEN-alt-GR1-Index-Education,S2 BIS = C 038,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
